PLAYER,YEAR,POS,BODY_FAT,HAND_LENGTH,HAND_WIDTH,HEIGHT,HEIGHT_SHOES,STAND_REACH,WEIGHT,WINGSPAN
Isaiah Whitehead,2016,PG-SG,9.25%,8.5,8.75,111,126,144,210,177
Ivan Rabb,2017,PF,6.80%,8.75,9,177,192,120,219.6,102
J.P. Tokoto,2015,SF-SG,4.10%,8,8.75,135,147,150,195.8,192
J'Covan Brown,2012,PG,12.50%,7.75,8.25,84,99,96,202.4,135
Jabari Brown,2014,SG,6.05%,9,9.25,108,123,144,201.9,171
Jackie Carmichael,2013,PF,5.80%,9,10.25,162,180,228,241.2,102
Jae Crowder,2012,SF,9.00%,9.5,10.5,129,150,138,241.2,183
Jahii Carson,2014,PG,6.45%,7.5,8.75,177,192,192,179.6,96
JaJuan Johnson,2011,PF,7.50%,9,10,180,192,234,219.8,108
Jake Layman,2016,SF,7.10%,8.25,9.25,168,183,168,208.6,183
Jakob Poeltl,2016,C,5.80%,9.25,10.25,87,96,150,239,117
Jamaal Franklin,2013,SG-SF,8.25%,8.5,8.25,120,135,186,190.8,207
Jamel Artis,2017,SG-SF,11.90%,9.25,9.75,138,153,204,213.2,192
James Anderson,2010,SF,7.90%,8.5,7.25,129,141,192,207.6,174
James Ennis,2013,SF,4.50%,8.5,8.75,141,156,198,200.8,210
James Fredette,2011,PG,7.70%,8,8.5,81,102,102,196,126
James McAdoo,2014,PF,6.15%,9.25,9,162,177,222,227.6,111
James Southerland,2013,SF-PF,8.05%,8,9.5,156,168,216,220.6,96
